zone_code,hits,lightning_triggered,jp_triggered,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand
0,9999521,0,0,35998045513.5000,32831533988.0000,1216948320.0000,149990070.0000,94.5843
101,28,0,0,100603.5000,89998.0000,8665.0000,210.0000,98.0711
102,4,0,0,14430.0000,11154.0000,0.0000,0.0000,77.2973
103,15,0,0,53896.5000,49534.0000,0.0000,0.0000,91.9058
201,431,0,0,1552248.0000,1504091.0000,50060.0000,9000.0000,100.1226
202,1,0,0,3595.5000,4674.0000,0.0000,0.0000,129.9958
203,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
