zone_code,hits,lightning_triggered,jp_triggered,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand
0,35732,0,0,385882776.0000,358461484.0000,17067255.0000,1612035.0000,97.3168
101,44,0,0,475159.5000,406328.0000,11025.0000,90.0000,87.8343
102,85,0,0,917095.5000,840680.0000,61480.0000,1845.0000,98.3714
103,68,0,0,734656.5000,640729.0000,60195.0000,1620.0000,95.4084
201,4,0,0,43317.0000,38308.0000,0.0000,0.0000,88.4364
202,3,0,0,32251.5000,40078.0000,9550.0000,540.0000,153.8781
203,4,0,0,43285.5000,46948.0000,0.0000,0.0000,108.4613
