zone_code,hits,lightning_triggered,jp_triggered,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand
0,35751,0,0,128696415.0000,119581389.0000,5734970.0000,537120.0000,97.3736
101,41,0,0,147571.5000,127786.0000,3645.0000,30.0000,89.0626
102,62,0,0,223011.0000,202608.0000,14600.0000,435.0000,97.3979
103,80,0,0,287853.0000,257806.0000,18845.0000,570.0000,96.1084
201,2,0,0,7194.0000,5150.0000,0.0000,0.0000,71.5874
202,2,0,0,7144.5000,7305.0000,0.0000,0.0000,102.2465
203,2,0,0,7224.0000,8597.0000,0.0000,0.0000,119.0061
