zone_code,mathconfig,hits,hit_rate_percent,lightning_triggered,jp_triggered,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand
0,BASE,339698,94.5181,0,0,4585923000.0000,4308214000.0000,189454925.0000,15544125.0000,98.0755
101,PRT1,6,0.0017,0,0,81000.0000,61000.0000,0.0000,0.0000,75.3086
102,PRT2,1,0.0003,0,0,13500.0000,10000.0000,9805.0000,90.0000,146.7037
103,PRT3,19632,5.4624,0,0,265032000.0000,234125000.0000,18910600.0000,627075.0000,95.4736
201,BST1,42,0.0117,0,0,567000.0000,618000.0000,0.0000,0.0000,108.9947
202,BST2,13,0.0036,0,0,175500.0000,174000.0000,0.0000,0.0000,99.1453
203,BST3,8,0.0022,0,0,108000.0000,110000.0000,12660.0000,540.0000,113.5741
