zone_code,hits,lightning_triggered,jp_triggered,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand
0,10000000,0,0,35999770287.0000,32833106822.0000,1217007735.0000,149999280.0000,94.5843
101,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
102,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
103,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
201,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
202,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
203,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
