zone_code,hits,lightning_triggered,jp_triggered,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand
0,9999547,0,0,35998139004.0000,32831634809.0000,1216956435.0000,149988735.0000,94.5843
101,14,9,0,50373.0000,40041.0000,3060.0000,60.0000,85.5637
102,3,2,0,10734.0000,9867.0000,0.0000,0.0000,91.9229
103,4,1,0,14355.0000,11822.0000,0.0000,0.0000,82.3546
201,424,119,0,1527042.0000,1457236.0000,45345.0000,9780.0000,98.3981
202,6,2,0,21574.5000,25146.0000,2745.0000,705.0000,129.2776
203,2,2,0,7204.5000,8111.0000,0.0000,0.0000,112.5824
