zone_code,mathconfig,hits,hit_rate_percent,lightning_triggered,jp_triggered,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand
0,BASE,359400,100.0000,0,0,4851900000.0000,4560826000.0000,208350845.0000,16171830.0000,98.2950
101,PRT1,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
102,PRT2,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
103,PRT3,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
201,BST1,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
202,BST2,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
203,BST3,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
