zone_code,hits,lightning_triggered,jp_triggered,total_bet,main_payout,bonus_payout,grand_payout,rtp_percent_excl_grand
0,35747,0,0,128681967.0000,119562266.0000,5724160.0000,536655.0000,97.3613
101,40,33,0,143763.0000,114200.0000,6360.0000,30.0000,83.8602
102,85,52,0,305796.0000,271216.0000,37725.0000,1005.0000,101.0285
103,50,16,0,180141.0000,166385.0000,7145.0000,285.0000,96.3301
201,7,3,0,25263.0000,28049.0000,0.0000,0.0000,111.0280
202,1,0,0,3576.0000,5560.0000,0.0000,0.0000,155.4810
203,10,8,0,35907.0000,34341.0000,3320.0000,180.0000,104.8848
